320,180
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
544,0.0919545,0.896556
544,0.0573941,0.896556
544,0.022833,0.896556
161,0.011728,0.115172
161,0.0462891,0.149733
161,0.080851,0.184294
161,0.115412,0.218855
161,0.149972,0.253417
161,0.184534,0.287977
161,0.219095,0.322539
161,0.253656,0.357101
161,0.288217,0.39166
161,0.322778,0.426222
161,0.35734,0.460784
161,0.391901,0.495345
161,0.426462,0.529906
545,0.435533,0.0254884
545,0.400972,0.0946107
545,0.366411,0.163733
545,0.331851,0.232855
545,0.297289,0.301978
545,0.262729,0.371098
545,0.228167,0.44022
545,0.193607,0.509342
545,0.159046,0.578464
545,0.124484,0.647586
545,0.0899246,0.716707
545,0.055363,0.785829
545,0.0208027,0.854951
74,0.910315,0.0137586
74,0.944876,0.0483191
458,0.91712,0.062316
171,0.882559,0.0139975
171,0.847998,0.0485588
171,0.813437,0.0831201
171,0.778875,0.117681
171,0.744315,0.152241
171,0.709754,0.186803
171,0.675193,0.221363
171,0.640632,0.255925
171,0.60607,0.290486
171,0.57151,0.325046
171,0.536949,0.359608
171,0.502388,0.394169
171,0.467826,0.42873
171,0.433266,0.463291
171,0.398705,0.497851
171,0.364144,0.532413
171,0.329583,0.566974
171,0.295021,0.601535
171,0.26046,0.636096
171,0.2259,0.670657
171,0.191338,0.705218
171,0.156778,0.739779
171,0.122216,0.77434
171,0.0876551,0.808901
171,0.0530946,0.843462
171,0.0185333,0.878023
175,0.912584,0.0160278
175,0.947145,0.0505888
559,0.91485,0.0668562
176,0.0162667,0.11971
176,0.0508283,0.154271
176,0.0853885,0.188833
176,0.119949,0.223394
176,0.15451,0.257955
176,0.189071,0.292515
176,0.223632,0.327076
176,0.258193,0.361637
176,0.292755,0.396198
176,0.327315,0.430759
176,0.361876,0.46532
176,0.396437,0.499881
176,0.430998,0.534441
560,0.430998,0.034561
560,0.396437,0.103682
560,0.361876,0.172805
560,0.327315,0.241926
560,0.292754,0.311048
560,0.258193,0.38017
560,0.223632,0.449292
560,0.189071,0.518414
560,0.15451,0.587535
560,0.119949,0.656657
560,0.0853882,0.725779
560,0.0508283,0.794901
560,0.0162667,0.864023
69,0.914851,0.0182939
453,0.947145,0.00226654
453,0.912584,0.071389
357,0.0185331,0.121978
357,0.0530943,0.156539
357,0.0876554,0.1911
357,0.122216,0.225661
357,0.156778,0.260222
357,0.191339,0.294783
357,0.2259,0.329344
357,0.260461,0.363905
357,0.295022,0.398466
357,0.329584,0.433027
357,0.364145,0.467588
357,0.398706,0.502149
357,0.433267,0.536711
741,0.428728,0.0390996
741,0.394167,0.108222
741,0.359607,0.177343
741,0.325046,0.246465
741,0.290484,0.315587
741,0.255924,0.384709
741,0.221362,0.453831
741,0.186802,0.522952
741,0.152241,0.592074
741,0.11768,0.661196
741,0.0831192,0.730318
741,0.0485576,0.79944
741,0.0139972,0.868562
526,0.0828794,0.896557
526,0.048319,0.896557
526,0.013758,0.896557
143,0.0208029,0.124246
143,0.055363,0.158808
143,0.0899246,0.193368
143,0.124484,0.22793
143,0.159047,0.26249
143,0.193607,0.297052
143,0.228167,0.331612
143,0.262729,0.366173
143,0.297289,0.400734
143,0.331851,0.435295
143,0.366412,0.469856
143,0.400972,0.504417
143,0.435533,0.538978
527,0.426462,0.0436329
527,0.3919,0.112756
527,0.357339,0.181878
527,0.322778,0.251
527,0.288217,0.320122
527,0.253656,0.389244
527,0.219094,0.458367
527,0.184534,0.527489
527,0.149972,0.59661
527,0.115412,0.665733
527,0.080851,0.734855
527,0.0462888,0.803978
527,0.011728,0.8731
464,0.0806112,0.896556
464,0.0460501,0.896556
464,0.011489,0.896556
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
544,0.256626,0.734147
544,0.222329,0.734147
544,0.188032,0.734146
544,0.153736,0.734145
544,0.119439,0.734147
544,0.085142,0.734146
544,0.0508451,0.734146
544,0.0165485,0.734146
161,0.0177486,0.283602
161,0.0520446,0.317898
161,0.0863417,0.352195
161,0.120638,0.386493
161,0.154936,0.42079
161,0.189233,0.455086
161,0.223529,0.489383
161,0.257826,0.52368
161,0.292123,0.557977
161,0.32642,0.592274
161,0.360717,0.62657
545,0.339133,0.0558796
545,0.304836,0.124473
545,0.270539,0.193067
545,0.236243,0.26166
545,0.201946,0.330254
545,0.16765,0.398846
545,0.133353,0.46744
545,0.0990561,0.536034
545,0.0647594,0.604627
545,0.0304627,0.673221
74,0.73798,0.00383266
74,0.772276,0.0381298
74,0.806573,0.0724272
74,0.84087,0.106723
458,0.85898,0.0161871
458,0.824683,0.0847792
458,0.790387,0.153373
458,0.75609,0.221966
171,0.721793,0.0123532
171,0.687496,0.0466498
171,0.653199,0.080946
171,0.618903,0.115243
171,0.584606,0.14954
